match_id,match_venue,match_innings,batting_team,bowling_team,total_score,run_rate
392206.0,New Wanderers Stadium,1.0,Chennai Super Kings,Delhi Daredevils,47.0,7.833333333333333
392206.0,New Wanderers Stadium,2.0,Delhi Daredevils,Chennai Super Kings,49.0,8.166666666666666
392205.0,St George's Park,1.0,Deccan Chargers,Rajasthan Royals,39.0,6.5
392205.0,St George's Park,2.0,Rajasthan Royals,Deccan Chargers,29.0,4.833333333333333
392207.0,St George's Park,1.0,Kolkata Knight Riders,Kings XI Punjab,28.0,4.666666666666667
392207.0,St George's Park,2.0,Kings XI Punjab,Kolkata Knight Riders,51.0,8.5
392208.0,New Wanderers Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,25.0,4.166666666666667
392208.0,New Wanderers Stadium,2.0,Royal Challengers Bangalore,Mumbai Indians,51.0,8.5
392209.0,Buffalo Park,1.0,Chennai Super Kings,Deccan Chargers,53.0,8.833333333333334
392209.0,Buffalo Park,2.0,Deccan Chargers,Chennai Super Kings,52.0,8.666666666666666
392210.0,Kingsmead,1.0,Rajasthan Royals,Kings XI Punjab,57.0,9.5
392210.0,Kingsmead,2.0,Kings XI Punjab,Rajasthan Royals,29.0,4.833333333333333
392211.0,Kingsmead,1.0,Kolkata Knight Riders,Delhi Daredevils,54.0,9.0
392211.0,Kingsmead,2.0,Delhi Daredevils,Kolkata Knight Riders,57.0,9.5
392212.0,SuperSport Park,1.0,Deccan Chargers,Mumbai Indians,37.0,6.166666666666667
392212.0,SuperSport Park,2.0,Mumbai Indians,Deccan Chargers,41.0,6.833333333333333
392213.0,SuperSport Park,1.0,Royal Challengers Bangalore,Rajasthan Royals,29.0,4.833333333333333
392213.0,SuperSport Park,2.0,Rajasthan Royals,Royal Challengers Bangalore,31.0,5.166666666666667
392214.0,SuperSport Park,1.0,Chennai Super Kings,Kings XI Punjab,57.0,9.5
392214.0,SuperSport Park,2.0,Kings XI Punjab,Chennai Super Kings,52.0,8.666666666666666
392215.0,Buffalo Park,1.0,Mumbai Indians,Delhi Daredevils,30.0,5.0
392215.0,Buffalo Park,2.0,Delhi Daredevils,Mumbai Indians,36.0,6.0
392217.0,De Beers Diamond Oval,1.0,Rajasthan Royals,Chennai Super Kings,34.0,5.666666666666667
392217.0,De Beers Diamond Oval,2.0,Chennai Super Kings,Rajasthan Royals,37.0,6.166666666666667
392216.0,De Beers Diamond Oval,1.0,Deccan Chargers,Kings XI Punjab,52.0,8.666666666666666
392216.0,De Beers Diamond Oval,2.0,Kings XI Punjab,Deccan Chargers,45.0,7.5
392219.0,New Wanderers Stadium,1.0,Kolkata Knight Riders,Delhi Daredevils,33.0,5.5
392219.0,New Wanderers Stadium,2.0,Delhi Daredevils,Kolkata Knight Riders,47.0,7.833333333333333
392218.0,St George's Park,1.0,Mumbai Indians,Royal Challengers Bangalore,46.0,7.666666666666667
392218.0,St George's Park,2.0,Royal Challengers Bangalore,Mumbai Indians,39.0,6.5
392220.0,De Beers Diamond Oval,1.0,Deccan Chargers,Rajasthan Royals,42.0,7.0
392220.0,De Beers Diamond Oval,2.0,Rajasthan Royals,Deccan Chargers,30.0,5.0
392222.0,SuperSport Park,1.0,Kings XI Punjab,Mumbai Indians,51.0,8.5
392222.0,SuperSport Park,2.0,Mumbai Indians,Kings XI Punjab,42.0,7.0
392221.0,SuperSport Park,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,38.0,6.333333333333333
392221.0,SuperSport Park,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,46.0,7.666666666666667
392223.0,Kingsmead,1.0,Delhi Daredevils,Deccan Chargers,56.0,9.333333333333334
392223.0,Kingsmead,2.0,Deccan Chargers,Delhi Daredevils,50.0,8.333333333333334
392225.0,Kingsmead,1.0,Rajasthan Royals,Mumbai Indians,42.0,7.0
392225.0,Kingsmead,2.0,Mumbai Indians,Rajasthan Royals,26.0,4.333333333333333
392224.0,Kingsmead,1.0,Chennai Super Kings,Royal Challengers Bangalore,52.0,8.666666666666666
392224.0,Kingsmead,2.0,Royal Challengers Bangalore,Chennai Super Kings,33.0,5.5
